Timestamp;Angle_Jscope;AngleSpeed_Jscope;Current_Jscope
816082;-2;-3000;52800
818088;-4;-3000;53500
820104;-4;-3000;54300
822085;-2;0;55000
824086;-2;0;55800
826090;-2;0;56500
828084;-2;-3000;57300
830097;-2;0;58000
832084;-2;0;58800
834087;-2;0;59600
836082;-2;0;60300
838085;-2;-3000;61100
840097;-2;-3000;61900
842085;-2;-3000;62700
844088;-2;-3000;63500
846082;-2;0;64300
848085;-2;0;65099
850098;-2;0;65900
852085;-2;-3000;66700
854088;-2;-3000;67500
856082;-2;0;68400
858087;-2;0;69200
860102;-2;0;70000
862083;0;0;70900
864088;0;0;71700
866085;0;0;72600
868090;0;0;73400
870116;0;0;74300
872100;0;-3000;75100
874090;0;-3000;76000
876087;0;0;76900
878083;0;-3000;77800
880083;0;0;78700
882101;0;0;79500
884090;0;0;80400
886086;0;0;81300
888090;2;0;82200
890086;2;0;83200
892103;2;0;84100
894083;2;0;85000
896086;4;-3000;85900
898089;2;-3000;86800
900086;2;0;87800
902089;2;0;88700
904102;2;0;89700
906082;2;-3000;90600
908085;2;-3000;91600
910082;2;-3000;92500
912085;2;-3000;93500
914099;2;0;94400
916086;2;-3000;95400
918089;2;0;96400
920086;2;0;97400
922082;4;0;98400
924101;4;0;99400
926082;6;0;100000
928087;6;0;101000
930087;6;0;102000
932110;6;-3000;103000
934099;4;-3000;104000
936089;6;0;105000
938086;4;0;106000
940085;4;0;107000
942090;4;-3000;109000
944099;4;-3000;110000
946089;6;0;111000
948086;6;0;112000
950085;6;0;113000
952089;9;0;114000
954103;9;0;115000
956089;9;0;116000
958084;9;0;117000
960089;9;0;118000
962085;9;-3000;119000
964099;9;0;120000
966258;9;-3000;121000
968089;9;0;122000
970087;9;0;124000
972089;9;0;125000
974103;11;0;126000
976082;11;0;127000
978086;11;0;128000
980083;11;0;129000
982086;11;0;130000
984104;11;-3000;131000
986084;11;-3000;133000
988087;11;-3000;134000
990086;11;0;135000
992083;11;0;136000
994103;11;0;137000
996085;11;-3000;138000
998089;11;0;140000
1000089;11;0;141000
1002086;11;0;142000
1004098;11;0;143000
1006087;13;0;144000
1008084;13;0;145000
1010084;13;0;147000
1012088;13;0;148000
1014101;13;0;149000
1016082;16;0;150000
1018087;16;0;152000
1020084;16;0;153000
1022086;16;-3000;154000
1024101;16;0;155000
1026088;16;0;156000
1028084;16;0;158000
1030089;16;0;159000
1032084;16;0;160000
1034100;16;0;161000
1036087;18;0;163000
1038090;18;0;164000
1040087;18;0;165000
1042082;18;0;167000
1044103;20;0;168000
1046082;23;0;169000
1048085;20;0;170000
1050083;25;0;172000
1052086;25;0;173000
1054097;25;0;174000
1056086;25;0;176000
1058083;25;0;177000
1060082;27;0;178000
1062087;27;0;180000
1064104;27;0;181000
1066086;30;0;182000
1068082;30;0;184000
1070090;30;0;185000
1072086;30;0;186000
1074098;32;2000;188000
1076082;32;2000;189000
1078087;34;2000;190000
1080086;37;0;192000
1082083;37;2000;193000
1084104;39;0;194000
1086090;41;2000;196000
1088084;43;2000;197000
1090083;46;2000;199000
1092085;50;4000;200000
1094101;53;6000;201000
1096089;60;6000;203000
1098084;67;8000;204000
1100089;74;8000;206000
1102084;83;12000;207000
1104100;97;14000;208000
1106087;111;18000;210000
1108082;129;25000;211000
1110088;150;29000;213000
1112083;173;33000;214000
1114086;196;35000;216000
1116101;212;33000;217000
1118088;226;25000;218000
1120087;231;16000;220000
1122084;233;8000;221000
1124089;226;-3000;223000
1126097;219;-11000;224000
1128086;210;-15000;226000
1130086;201;-15000;227000
1132083;194;-15000;229000
1134087;189;-13000;230000
1136096;187;-9000;232000
1138086;189;-3000;233000
1140085;194;2000;235000
1142090;198;6000;236000
1144086;205;8000;238000
1146102;210;8000;239000
1148084;215;6000;241000
1150090;215;4000;242000
1152083;215;0;244000
1154086;210;-5000;245000
1156099;208;-7000;247000
1158087;205;-7000;248000
1160084;203;-7000;250000
1162087;201;-5000;251000
1164082;201;-3000;253000
1166097;203;0;255000
1168085;205;2000;256000
1170083;208;2000;258000
1172086;208;4000;259000
1174088;210;2000;261000
1176086;210;0;262000
1178102;210;0;264000
1180085;210;-3000;266000
1182087;208;-3000;267000
1184082;205;-3000;269000
1186087;205;-3000;270000
1188097;205;-3000;272000
1190089;208;0;273000
1192086;210;0;275000
1194083;210;0;277000
1196088;212;2000;278000
1198097;212;0;280000
1200088;212;-3000;282000
1202085;212;0;283000
1204090;210;0;285000
1206087;210;-3000;286000
1208102;210;-3000;288000
1210087;210;-3000;290000
1212083;210;0;291000
1214088;212;0;293000
1216083;212;0;295000
1218098;212;0;296000
1220087;212;-3000;298000
1222082;212;0;300000
1224085;212;0;301000
1226088;212;0;303000
1228098;212;0;305000
1230088;212;-3000;306000
1232083;212;0;308000
1234086;212;0;310000
1236089;212;0;311000
1238104;212;0;313000
1240086;212;-3000;315000
